Japanese	English	
    あ 	Ah	
    ああ 	like that	
    間 or  あいだ 	a space	
    合う or  あう 	to match	
    あかちゃん 	baby	
    上る or  あがる 	to rise	
    赤ん坊 or  あかんぼう 	baby	
    空く or  あく 	to open or  to become empty	
    あげる 	to give	
    浅い or  あさい 	shallow or  superficial	
    味 or  あじ 	flavour	
    明日 or  あす / あした 	tomorrow	
    遊び or  あそび 	play	
    集る or  あつまる 	to gather	
    集める or  あつめる 	to collect something	
    謝る or  あやまる 	to apologize	
    安心 or  あんしん 	relief	
    安全 or  あんぜん 	safety	
    あんな 	such	
    以下 or  いか 	less than	
    以外 or  いがい 	with the exception of	
    医学 or  いがく 	medical science	
    生きる or  いきる 	to live	
    意見 or  いけん 	opinion	
    石 or  いし 	stone	
    いじめる 	to tease	
    以上 or  いじょう 	more than or  this is all	
    急ぐ or  いそぐ 	to hurry	
    致す or  いたす 	(humble) to do	
    一度 or  いちど 	once	
    一生懸命 or  いっしょうけんめい 	with utmost effort	
    いっぱい 	full	
    糸 or  いと 	thread	
    以内 or  いない 	within	
    田舎 or  いなか 	countryside	
    祈る or  いのる 	to pray	
    いらっしゃる 	(respectful) to be or  to come or to go	
    植える or  うえる 	to plant or  to grow	
    受付 or  うけつけ 	receipt	
    受ける or  うける 	to take a lesson or test	
    動く or  うごく 	to move	
    うち 	within	
    打つ or  うつ 	to hit	
    美しい or  うつくしい 	beautiful	
    写す or  うつす 	to copy or photograph	
    移る or  うつる 	to move house or transfer	
    腕 or  うで 	arm	
    裏 or  うら 	reverse side	
    売り場 or  うりば 	place where things are sold	
    うん 	(informal) yes	
    運転手 or  うんてんしゅ 	driver	
    枝 or  えだ 	branch or  twig	
    選ぶ or  えらぶ 	to choose	
    遠慮 or  えんりょする 	to be reserved or  to be restrained	
    おいでになる 	(respectful) to be	
    お祝い or  おいわい 	congratulation	
    おかげ 	owing to or  thanks to	
    おかしい 	strange or funny	
    億 or  おく 	one hundred million	
    屋上 or  おくじょう 	rooftop	
    贈り物 or  おくりもの 	gift	
    送る or  おくる 	to send	
    遅れる or  おくれる 	to be late	
    起す or  おこす 	to wake	
    行う or  おこなう 	to do	
    怒る or  おこる 	to get angry or  to be angry	
    押し入れ or  おしいれ 	closet	
    お嬢さん or  おじょうさん 	young lady	
    お宅 or  おたく 	(polite) your house	
    落ちる or  おちる 	to fall or drop	
    おっしゃる 	(respectful) to say	
    夫 or  おっと 	husband	
    おつり 	change from purchase or  balance	
    音 or  おと 	sound or  note	
    落す or  おとす 	to drop	
    踊り or  おどり 	a dance	
    踊る or  おどる 	to dance	
    驚く or  おどろく 	to be surprised	
    お祭り or  おまつり 	festival	
    お見舞い or  おみまい 	calling on someone who is ill or  enquiry	
    お土産 or  おみやげ 	souvenir	
    思い出す or  おもいだす 	to remember	
    思う or  おもう 	to think or  to feel	
    おもちゃ 	toy	
    表 or  おもて 	the front	
    親 or  おや 	parents	
    泳ぎ方 or  およぎかた 	way of swimming	
    下りる or  おりる 	to get off or  to descend	
    折る or  おる 	to break or to fold	
    お礼 or  おれい 	expression of gratitude	
    折れる or  おれる 	to break or be folded	
    終わり or  おわり 	the end	
    海岸 or  かいがん 	coast	
    会議 or  かいぎ 	meeting	
